policy,metric,n_blocks,n_models,friedman_chi2,p_value,kendalls_w,constant_or_untestable
P1,raw_fidelity,18,4,19.8461538461539,0.0001826703890590291,0.3675213675213685,False
P1,projected_fidelity,18,4,19.8461538461539,0.0001826703890590291,0.3675213675213685,False
P1,top3_overlap,18,4,13.98795180722889,0.002921598378566039,0.2590361445783128,False
P1,allocation_l1_to_reference,18,4,14.533333333333303,0.0022621657300666174,0.26913580246913527,False
P1,projection_l1,18,4,,,,True
P1,ew_l1_distance,18,4,25.26666666666665,1.3579845219967409e-05,0.46790123456790095,False
P2,raw_fidelity,18,4,,,,True
P2,projected_fidelity,18,4,,,,True
P2,top3_overlap,18,4,32.2671755725191,4.597009593406595e-07,0.5975402883799833,False
P2,allocation_l1_to_reference,18,4,33.133333333333326,3.0187040122071255e-07,0.6135802469135802,False
P2,projection_l1,18,4,,,,True
P2,ew_l1_distance,18,4,39.19999999999999,1.574324880543546e-08,0.7259259259259258,False
P3,raw_fidelity,18,4,1.9999999999998868,0.5724067044709031,0.03703703703703494,False
P3,projected_fidelity,18,4,1.9999999999998868,0.5724067044709031,0.03703703703703494,False
P3,top3_overlap,18,4,16.415730337078667,0.0009317877704173521,0.30399500624219755,False
P3,allocation_l1_to_reference,18,4,23.066666666666663,3.911130123997705e-05,0.4271604938271604,False
P3,projection_l1,18,4,3.3999999999999773,0.3339652490901637,0.06296296296296254,False
P3,ew_l1_distance,18,4,35.0,1.2182496976163335e-07,0.6481481481481481,False
P4,raw_fidelity,18,4,,,,True
P4,projected_fidelity,18,4,,,,True
P4,top3_overlap,18,4,,,,True
P4,allocation_l1_to_reference,18,4,,,,True
P4,projection_l1,18,4,,,,True
P4,ew_l1_distance,18,4,,,,True
P5,raw_fidelity,18,4,1.285714285714579,0.7325281239406956,0.023809523809529238,False
P5,projected_fidelity,18,4,1.285714285714579,0.7325281239406956,0.023809523809529238,False
P5,top3_overlap,18,4,12.294117647058776,0.006440640436021697,0.22766884531590326,False
P5,allocation_l1_to_reference,18,4,15.266666666666652,0.0016023785279627347,0.2827160493827158,False
P5,projection_l1,18,4,,,,True
P5,ew_l1_distance,18,4,18.066666666666663,0.00042614127558089653,0.3345679012345678,False
P6,raw_fidelity,18,4,0.7499999999999573,0.8613850804045518,0.013888888888888097,False
P6,projected_fidelity,18,4,0.7499999999999573,0.8613850804045518,0.013888888888888097,False
P6,top3_overlap,18,4,5.173469387755095,0.15952672542292934,0.09580498866213139,False
P6,allocation_l1_to_reference,18,4,18.066666666666663,0.00042614127558089653,0.3345679012345678,False
P6,projection_l1,18,4,,,,True
P6,ew_l1_distance,18,4,20.731843575419003,0.00011967520555565776,0.383923029174426,False
