policy,metric,model_a,model_b,wilcoxon_w,p_raw,mean_paired_difference,median_paired_difference,test_status,p_holm
P1,raw_fidelity,gemma3:1b,gemma3:270m,0.0,0.15729920705028516,-0.1111111111111111,0.0,tested,0.3145984141005703
P1,raw_fidelity,gemma3:1b,llama3.1:8b,,,0.0,0.0,not_testable_all_zero,
P1,raw_fidelity,gemma3:1b,qwen3.5:4b,0.0,0.004677734981047257,-0.4444444444444444,0.0,tested,0.023388674905236283
P1,raw_fidelity,gemma3:270m,llama3.1:8b,0.0,0.15729920705028516,0.1111111111111111,0.0,tested,0.3145984141005703
P1,raw_fidelity,gemma3:270m,qwen3.5:4b,0.0,0.014305878435429615,-0.3333333333333333,0.0,tested,0.042917635306288844
P1,raw_fidelity,llama3.1:8b,qwen3.5:4b,0.0,0.004677734981047257,-0.4444444444444444,0.0,tested,0.023388674905236283
P1,projected_fidelity,gemma3:1b,gemma3:270m,0.0,0.15729920705028516,-0.1111111111111111,0.0,tested,0.3145984141005703
P1,projected_fidelity,gemma3:1b,llama3.1:8b,,,0.0,0.0,not_testable_all_zero,
P1,projected_fidelity,gemma3:1b,qwen3.5:4b,0.0,0.004677734981047257,-0.4444444444444444,0.0,tested,0.023388674905236283
P1,projected_fidelity,gemma3:270m,llama3.1:8b,0.0,0.15729920705028516,0.1111111111111111,0.0,tested,0.3145984141005703
P1,projected_fidelity,gemma3:270m,qwen3.5:4b,0.0,0.014305878435429615,-0.3333333333333333,0.0,tested,0.042917635306288844
P1,projected_fidelity,llama3.1:8b,qwen3.5:4b,0.0,0.004677734981047257,-0.4444444444444444,0.0,tested,0.023388674905236283
P1,top3_overlap,gemma3:1b,gemma3:270m,11.0,0.00924950253258345,0.24074074074074073,0.16666666666666666,tested,0.046247512662917246
P1,top3_overlap,gemma3:1b,llama3.1:8b,,,0.0,0.0,not_testable_all_zero,
P1,top3_overlap,gemma3:1b,qwen3.5:4b,51.0,0.9401399804128658,0.018518518518518507,0.0,tested,1.0
P1,top3_overlap,gemma3:270m,llama3.1:8b,11.0,0.00924950253258345,-0.24074074074074073,-0.16666666666666666,tested,0.046247512662917246
P1,top3_overlap,gemma3:270m,qwen3.5:4b,11.5,0.009938828804581735,-0.2222222222222222,-0.16666666666666666,tested,0.046247512662917246
P1,top3_overlap,llama3.1:8b,qwen3.5:4b,51.0,0.9401399804128658,0.018518518518518507,0.0,tested,1.0
