policy,metric,model,n,mean,sd,median,ci_low,ci_high
P1,raw_fidelity,gemma3:1b,18,0.0,0.0,0.0,0.0,0.0
P1,raw_fidelity,gemma3:270m,18,0.1111111111111111,0.32338083338177726,0.0,0.0,0.2777777777777778
P1,raw_fidelity,llama3.1:8b,18,0.0,0.0,0.0,0.0,0.0
P1,raw_fidelity,qwen3.5:4b,18,0.4444444444444444,0.5113099925649136,0.0,0.2222222222222222,0.6666666666666666
P1,projected_fidelity,gemma3:1b,18,0.0,0.0,0.0,0.0,0.0
P1,projected_fidelity,gemma3:270m,18,0.1111111111111111,0.32338083338177726,0.0,0.0,0.2777777777777778
P1,projected_fidelity,llama3.1:8b,18,0.0,0.0,0.0,0.0,0.0
P1,projected_fidelity,qwen3.5:4b,18,0.4444444444444444,0.5113099925649136,0.0,0.2222222222222222,0.6666666666666666
P1,top3_overlap,gemma3:1b,18,0.648148148148148,0.07856742013183861,0.6666666666666666,0.611111111111111,0.6666666666666665
P1,top3_overlap,gemma3:270m,18,0.40740740740740733,0.2927345840073031,0.5,0.2777777777777778,0.5370370370370369
P1,top3_overlap,llama3.1:8b,18,0.648148148148148,0.07856742013183861,0.6666666666666666,0.611111111111111,0.6666666666666665
P1,top3_overlap,qwen3.5:4b,18,0.6296296296296295,0.22546651386484107,0.6666666666666666,0.5370370370370369,0.7222222222222222
P1,allocation_l1_to_reference,gemma3:1b,18,1.3081779427414477,0.1481856279126422,1.3297511149474892,1.2410121358027533,1.3729480955550155
P1,allocation_l1_to_reference,gemma3:270m,18,1.2112751949736118,0.1355286171788332,1.1736318059684003,1.1508833244339283,1.2727862020361034
P1,allocation_l1_to_reference,llama3.1:8b,18,1.2634022721399103,0.13737511364770816,1.2316139385602933,1.2056686682184836,1.3261599182558694
P1,allocation_l1_to_reference,qwen3.5:4b,18,1.0544536899820989,0.1992601518334944,1.1210755351099495,0.9599122243710855,1.1327749179090683
P1,projection_l1,gemma3:1b,18,1.4399409519688038e-16,1.175399047364763e-16,9.454242944073599e-17,9.518752973336487e-17,2.007481637519848e-16
P1,projection_l1,gemma3:270m,18,1.4359655440030112e-16,1.1917931344974778e-16,1.0842021724854633e-16,8.872026377448806e-17,1.9655681885351732e-16
P1,projection_l1,llama3.1:8b,18,2.562090200491273e-16,1.133173149491076e-16,2.3071822230491534e-16,2.0738498688394555e-16,3.0797244577082765e-16
P1,projection_l1,qwen3.5:4b,18,1.9477089694161333e-16,1.251536008665317e-16,1.4745149545802762e-16,1.3867789054445006e-16,2.471764112832419e-16
P1,ew_l1_distance,gemma3:1b,18,0.9988639742496025,0.10416055572643644,0.9915317019348229,0.9493845599291947,1.0442074280627633
P1,ew_l1_distance,gemma3:270m,18,0.5928806892997813,0.4190238316054722,0.6548003490779424,0.39535949333009873,0.7772916064188317
P1,ew_l1_distance,llama3.1:8b,18,1.089287436914643,0.21450208109171545,1.1582183301372466,0.9910645817681372,1.1799763771300904
P1,ew_l1_distance,qwen3.5:4b,18,0.7168009447711639,0.4538483304044625,0.6837654436350338,0.5220295917936572,0.9184821987995919
P2,raw_fidelity,gemma3:1b,18,0.0,0.0,0.0,0.0,0.0
P2,raw_fidelity,gemma3:270m,18,0.0,0.0,0.0,0.0,0.0
P2,raw_fidelity,llama3.1:8b,18,0.0,0.0,0.0,0.0,0.0
P2,raw_fidelity,qwen3.5:4b,18,0.0,0.0,0.0,0.0,0.0
P2,projected_fidelity,gemma3:1b,18,0.0,0.0,0.0,0.0,0.0
