experiment,outcome,term,fit_status,model_family,formula,coefficient,odds_ratio,se,p_value,ci_low,ci_high,n,clusters,excluded_constant_cells
prompt_robustness,projected_fidelity>=0.5,Intercept,ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),0.18918119099491656,,0.030714494203874367,7.304606524514285e-10,0.12898188855195858,0.24938049343787455,2754,18,
prompt_robustness,projected_fidelity>=0.5,C(model_id)[T.gemma3:270m],ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),-0.051198257080610036,,0.016885507659530015,0.0024287258547343676,-0.08429324395396409,-0.018103270207255988,2754,18,
prompt_robustness,projected_fidelity>=0.5,C(model_id)[T.llama3.1:8b],ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),-0.0021786492374727784,,0.019234455538342788,0.9098180480093785,-0.039877489354861614,0.035520190879916064,2754,18,
prompt_robustness,projected_fidelity>=0.5,C(policy_id)[T.P2],ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),-0.14074074074074075,,0.029110681784078003,1.333620652162205e-06,-0.19779662860293984,-0.08368485287854166,2754,18,
prompt_robustness,projected_fidelity>=0.5,C(policy_id)[T.P3],ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),-0.12407407407407409,,0.03289897613447173,0.00016235645361241586,-0.18855488242588142,-0.05959326572226674,2754,18,
prompt_robustness,projected_fidelity>=0.5,C(policy_id)[T.P4],ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),0.5310802469135802,,0.048928650751028,1.9051475485210654e-27,0.4351818536294267,0.6269786401977337,2754,18,
prompt_robustness,projected_fidelity>=0.5,C(policy_id)[T.P5],ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),-0.10925925925925926,,0.02234619056777523,1.0114849826041299e-06,-0.15305698796376738,-0.06546153055475115,2754,18,
prompt_robustness,projected_fidelity>=0.5,C(policy_id)[T.P6],ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),-0.05570987654320987,,0.03581142942248439,0.11979249580546099,-0.1258989884461773,0.01447923535975755,2754,18,
prompt_robustness,projected_fidelity>=0.5,C(paraphrase_id)[T.1.0],ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),-0.015432098765432138,,0.01621798638933587,0.34132919701420106,-0.04721876799029123,0.016354570459426954,2754,18,
prompt_robustness,projected_fidelity>=0.5,C(paraphrase_id)[T.2.0],ok,gaussian_identity_fallback,success ~ C(model_id) + C(policy_id) + C(paraphrase_id),-2.897187473471432e-17,,0.013094570021973105,0.9999999999999982,-0.025664885636105177,0.025664885636105122,2754,18,
