strategy,benchmark,n,mean_daily_excess,annualized_arithmetic_excess,hac_t,hac_p
CODED_P1,EQUAL,3764,0.00010941381148298193,0.027572280493711448,1.1530147922460066,0.24890431304413096
CODED_P2,EQUAL,3764,-0.00011150763054831536,-0.02809992289817547,-2.2013966866308197,0.02770795336745516
CODED_P3,EQUAL,3764,-5.3573008388891975e-05,-0.013500398114000778,-0.7893209584880848,0.42992444005900066
CODED_P4,EQUAL,3764,0.0,0.0,,
CODED_P5,EQUAL,3764,-1.1806554782336844e-05,-0.0029752518051488846,-0.3260588438365779,0.7443798347002442
MOM6,EQUAL,3764,5.260283971290068e-05,0.013255915607650971,1.2157196538260162,0.2240917346495389
MVP,EQUAL,3764,-0.00014932683320936812,-0.03763036196876077,-2.3217342766334848,0.02024724809633027
NLPI[gemma3:1b|P1],EQUAL,3764,0.00020146022799394562,0.0507679774544743,2.2469472629078338,0.024643397682456783
NLPI[gemma3:1b|P2],EQUAL,3764,-0.00011150763054831536,-0.02809992289817547,-2.2013966866308197,0.02770795336745516
NLPI[gemma3:1b|P3],EQUAL,3764,-6.894027260551462e-05,-0.017372948696589684,-0.7628332084508403,0.44556287347075396
NLPI[gemma3:1b|P4],EQUAL,3764,0.0,0.0,,
NLPI[gemma3:1b|P5],EQUAL,3764,0.0,0.0,,
NLPI[gemma3:270m|P1],EQUAL,3764,0.0002515439085418614,0.06338906495254908,2.1769278632068048,0.029485950123079294
NLPI[gemma3:270m|P2],EQUAL,3764,-0.00011150763054831536,-0.02809992289817547,-2.2013966866308197,0.02770795336745516
NLPI[gemma3:270m|P3],EQUAL,3764,9.292236876362275e-05,0.023416436928432934,0.8310616768734319,0.40593878777573944
NLPI[gemma3:270m|P4],EQUAL,3764,0.0,0.0,,
NLPI[gemma3:270m|P5],EQUAL,3764,0.0,0.0,,
NLPI[llama3.1:8b|P1],EQUAL,3764,0.00020349456362201083,0.05128063003274673,2.3198105968706857,0.02035112557822225
NLPI[llama3.1:8b|P2],EQUAL,3764,-0.00012833546913120452,-0.03234053822106354,-2.3722169496018157,0.01768170507113499
NLPI[llama3.1:8b|P3],EQUAL,3764,-7.659966944232509e-05,-0.01930311669946592,-0.8728159350187779,0.38276341259526747
NLPI[llama3.1:8b|P4],EQUAL,3764,0.0,0.0,,
NLPI[llama3.1:8b|P5],EQUAL,3764,0.0,0.0,,
RiskParity,EQUAL,3764,-6.173103018649616e-05,-0.015556219606997032,-1.8837539624283988,0.05959826345908482
SHARPE,EQUAL,3764,-4.2877783363646325e-06,-0.0010805201407638875,-0.11316967377059071,0.9098960380035607
