strategy,benchmark,metric,block_length,boot_n,estimate,ci_low,ci_high
CODED_P1,EQUAL,Sharpe of paired excess returns,20,2000,0.29050855989595475,-0.15892245903219224,0.8084352870098632
CODED_P2,EQUAL,Sharpe of paired excess returns,20,2000,-0.575120867743419,-1.1029753936873758,-0.06659903508198943
CODED_P3,EQUAL,Sharpe of paired excess returns,20,2000,-0.18304542333703727,-0.6776116709532077,0.2624260598283935
CODED_P4,EQUAL,Sharpe of paired excess returns,20,2000,,,
CODED_P5,EQUAL,Sharpe of paired excess returns,20,2000,-0.08208483966313017,-0.562644296640936,0.4236369218899108
MOM6,EQUAL,Sharpe of paired excess returns,20,2000,0.28631104748268205,-0.14402511035943502,0.7557985670666322
MVP,EQUAL,Sharpe of paired excess returns,20,2000,-0.6054227808780749,-1.118789466457331,-0.11097504610581971
NLPI[gemma3:1b|P1],EQUAL,Sharpe of paired excess returns,20,2000,0.5944449408606436,0.10078941157803334,1.091520524575491
NLPI[gemma3:1b|P2],EQUAL,Sharpe of paired excess returns,20,2000,-0.575120867743419,-1.1223614617584612,-0.05998527054783827
NLPI[gemma3:1b|P3],EQUAL,Sharpe of paired excess returns,20,2000,-0.18992263947627652,-0.6538536330357286,0.2994196571235534
NLPI[gemma3:1b|P4],EQUAL,Sharpe of paired excess returns,20,2000,,,
NLPI[gemma3:1b|P5],EQUAL,Sharpe of paired excess returns,20,2000,,,
NLPI[gemma3:270m|P1],EQUAL,Sharpe of paired excess returns,20,2000,0.5582709318711363,0.089882545860211,1.0401119266953711
NLPI[gemma3:270m|P2],EQUAL,Sharpe of paired excess returns,20,2000,-0.575120867743419,-1.1531110249755423,-0.0851584194864714
NLPI[gemma3:270m|P3],EQUAL,Sharpe of paired excess returns,20,2000,0.21188117144565755,-0.2700841050419554,0.7152803894276728
NLPI[gemma3:270m|P4],EQUAL,Sharpe of paired excess returns,20,2000,,,
NLPI[gemma3:270m|P5],EQUAL,Sharpe of paired excess returns,20,2000,,,
NLPI[llama3.1:8b|P1],EQUAL,Sharpe of paired excess returns,20,2000,0.5757176839699969,0.08495137160332186,1.05262503792526
NLPI[llama3.1:8b|P2],EQUAL,Sharpe of paired excess returns,20,2000,-0.6100403397973521,-1.2262341517109168,-0.07235403012591475
NLPI[llama3.1:8b|P3],EQUAL,Sharpe of paired excess returns,20,2000,-0.2264793722830147,-0.7787936295978182,0.3213699405028038
NLPI[llama3.1:8b|P4],EQUAL,Sharpe of paired excess returns,20,2000,,,
NLPI[llama3.1:8b|P5],EQUAL,Sharpe of paired excess returns,20,2000,,,
RiskParity,EQUAL,Sharpe of paired excess returns,20,2000,-0.46188942928220106,-0.9453579030525552,-0.014932273645426958
SHARPE,EQUAL,Sharpe of paired excess returns,20,2000,-0.028415868323714073,-0.5074186987205572,0.46732920928483923
