condition_id,decision_date,fold,assigned_counterfactual_target,prompt_hash,prompt_length,fewshot_hash,fewshot_length
D_counterfactual_fewshot,2013-01-04,1,AGG,e58a7b148bc66b1718ea0972d2d3f2983c577e1d2912439cfa9f87196d46a6f4,5956,ca3782a8bdfe2b60f4b24347fe44205b680e5cb74a4ad9f691751a04f43853d8,2415
E_counterfactual_no_fewshot,2013-01-04,1,AGG,85f94dc5f709878bb433565eb75060f87ef4a947cbb31b475a3cacf6351782f3,3541,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
D_counterfactual_fewshot,2015-01-06,3,BND,01aa6d2b086ef1aab2fb0286a883349d3c96488eb41338cd96f2b92fa05698e8,5959,302ac08ebf1699711f257320985eb42504cf2809694961b4651ad2f7f425ea19,2419
E_counterfactual_no_fewshot,2015-01-06,3,BND,dc3d015018c98dd0452320e55393e40bd324de42cee772db59db066b95fc2785,3540,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
D_counterfactual_fewshot,2017-03-08,5,SHY,60daff01fe9ed0e12ae98cc2db0c49defb44bbb0f897ace850ec7455e60ac80b,5960,6b3ec67229cdc8df09511119616a82fa8af7131dc1ade6b28a22e9c90dd21cbd,2420
E_counterfactual_no_fewshot,2017-03-08,5,SHY,e04c0f72796fb1c8ddcb31f6aaf7181567982a610cd8d42c0260ec265740af2b,3540,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
D_counterfactual_fewshot,2019-05-09,7,IEF,949bdec1006fd69eceb75603a0d5f56b0ec257fee407483586331c0cd6daa6d5,5949,b46665544a93821eb276f1beeb63ce24196199e8b196cac135c4ecb2a65b587b,2414
E_counterfactual_no_fewshot,2019-05-09,7,IEF,57dbadd8bf19c25b0e65f56939525cda6b149ec458a472778a88cbd837ef2cc4,3535,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
D_counterfactual_fewshot,2021-07-09,9,TIP,deccc837704bc8025c4ec90061784363657791bfebea387d1465320df0f0d227,5945,0c486dcc8b84342fb4cdde63596cc7f2329bfb21cae879d57c67768a7e347a8f,2412
E_counterfactual_no_fewshot,2021-07-09,9,TIP,b031c4b6bb3c413a738314c9ec8cbf6f3cd4cc7d0010a602dfd36dadbeb5e47b,3533,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
D_counterfactual_fewshot,2023-09-11,11,LQD,3de9a7a7859e1a2329a639ac31479e076e066a7eee750f36346ce6a291dc2c99,5960,0fd424b75a5ab67b380017c3a6dd556f0b817931bf694ebca579773a6410145a,2410
E_counterfactual_no_fewshot,2023-09-11,11,LQD,42f465b7f6f68ca180afc53176da7ae45bb261592a1bbb631892c4480f2bb8f9,3550,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
D_counterfactual_fewshot,2025-11-12,13,UUP,a0559eaf049f229c0de3ec9240c359f65aeb04e57a575c0018d0ca8842f3466f,5936,79a44ab83aa9d63b1a012908cb522bebc386491b1e0546c792fb0a325497ce3b,2412
E_counterfactual_no_fewshot,2025-11-12,13,UUP,e968dd9b6f94ff077130e30b1c9aa4db2e71649e7339b91434b1c98d28ac4d6a,3524,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
