condition_id,decision_date,fold,prompt_hash,prompt_length,fewshot_hash,fewshot_length
A_wfcv_exact,2013-01-04,1,ec056c2a013c136b44784614550be4bd0eaf0004d40f671296a8845197f08164,5956,ca3782a8bdfe2b60f4b24347fe44205b680e5cb74a4ad9f691751a04f43853d8,2415
B_wfcv_no_fewshot,2013-01-04,1,11dcffeb6cdb076bf59b88fbca4069eae8c365a5065ef2a50c7e5b9f0e825e27,3541,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
C_bridge_canonical,2013-01-04,1,115d0dc1e77599c92852e1b3458553857cb7c57b548828f2ba035745b761445a,3377,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
A_wfcv_exact,2015-01-06,3,e37bf54c3549e64bf0f24a54e52f558526cc2eeb5e83835ff8df9978671d0b57,5959,302ac08ebf1699711f257320985eb42504cf2809694961b4651ad2f7f425ea19,2419
B_wfcv_no_fewshot,2015-01-06,3,a3a3665bcf429c733164d7890ae0aabae5b9bc4c2e1c612f53afe92bae4f4cc8,3540,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
C_bridge_canonical,2015-01-06,3,94deb47bc83e7abe51f878bd2b5dd51ad3b648d567781ba8ac157118a5884237,3376,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
A_wfcv_exact,2017-03-08,5,5f0edc793b3cb38a362a32ff4317ecdb0c6f460404966868df45ffecfe952812,5960,6b3ec67229cdc8df09511119616a82fa8af7131dc1ade6b28a22e9c90dd21cbd,2420
B_wfcv_no_fewshot,2017-03-08,5,2efda69be6bcdd712366a309585a8781c3379eec71158f921dbc5ebf21e60ab1,3540,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
C_bridge_canonical,2017-03-08,5,7167119a939e6a567b37e764396c6985404937f01c45127f16ccd4944349cfef,3376,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
A_wfcv_exact,2019-05-09,7,6488ec0280ae21857a3daf7b147b4c0e6d56275e0d84740394ae67632ced5749,5949,b46665544a93821eb276f1beeb63ce24196199e8b196cac135c4ecb2a65b587b,2414
B_wfcv_no_fewshot,2019-05-09,7,e61df868fff5487a30b1809ce46f1b9318e3936d20ebaa3aa34ccbf98b10dc9f,3535,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
C_bridge_canonical,2019-05-09,7,e789c2fd79fb64e00fb60129a94b592f11a1b86fd2237a5324fe538e6aefccf2,3371,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
A_wfcv_exact,2021-07-09,9,8231d76b4ec87d3643ae4746a30f6dd4d5119e973eac7e2312321257b8c060d8,5945,0c486dcc8b84342fb4cdde63596cc7f2329bfb21cae879d57c67768a7e347a8f,2412
B_wfcv_no_fewshot,2021-07-09,9,f5e97a47964994a7797ff0d06057dbc2892d9b2dea0ad96ff29f30d69260ff17,3533,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
C_bridge_canonical,2021-07-09,9,9b2fe23b6315883564c36df74060761e2942075c67c46c21a6cfb7452a5ecf51,3369,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
A_wfcv_exact,2023-09-11,11,3805ae53f4812cc12499799c69e39d401e124cd5584c8b7470d24b1078b99232,5960,0fd424b75a5ab67b380017c3a6dd556f0b817931bf694ebca579773a6410145a,2410
B_wfcv_no_fewshot,2023-09-11,11,7f0c50e9e1c6bdc90c8ead43bb73d96fd85dfc2c8ac371fd3de9d27ed3231e6d,3550,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
C_bridge_canonical,2023-09-11,11,028a1a31b39c1bdebdad0195c16b365ef970092c9af8004957b5ee0482634d0f,3386,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
A_wfcv_exact,2025-11-12,13,3b8ebfc1ce4ba3c8e8b34341f8855955c8066a231816bedb4f4d3cfeaa8f6e5a,5936,79a44ab83aa9d63b1a012908cb522bebc386491b1e0546c792fb0a325497ce3b,2412
B_wfcv_no_fewshot,2025-11-12,13,dac38a07cb5d293fa81685b4cd562899f7d751aa0a8fece9adc16e24676d77f7,3524,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
C_bridge_canonical,2025-11-12,13,b962de2c2f3b3dc4d419bebd2aeee3b7e6e72fd60293ae81f946815d743f1cff,3360,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
