model_id,conflict_type,n_calls,raw_cap_violation_rate,raw_longonly_violation_rate,mean_budget_violation,post_feasible_budget_rate,post_feasible_cap_rate,post_feasible_longonly_rate,mean_projection_l1,json_valid_rate,repair_rate,mean_missing_assets,mean_hallucinated_assets
gemma3:1b,ambiguous_conflict,36,0.027777777777777776,0.0,9.868649107779169e-17,1.0,1.0,1.0,0.017397073083973577,1.0,0.0,0.0,0.0
gemma3:1b,budget_conflict,36,0.0,0.0,9.868649107779169e-17,1.0,1.0,1.0,1.3101378585406533e-16,1.0,0.0,0.0,0.0
gemma3:1b,cap_aligned_60,36,0.0,0.0,9.251858538542972e-17,1.0,1.0,1.0,1.7081002892968398e-16,1.0,0.0,0.0,0.0
gemma3:1b,cap_conflict,36,0.1388888888888889,0.0,7.709882115452476e-17,1.0,1.0,1.0,0.06873914440328116,1.0,0.0,0.0,0.0
gemma3:1b,cap_mild_conflict_70,36,0.0,0.0,8.326672684688674e-17,1.0,1.0,1.0,1.3000435786786748e-16,1.0,0.0,0.0,0.0
gemma3:1b,cap_severe_conflict_90,36,0.16666666666666666,0.0,7.709882115452474e-17,1.0,1.0,1.0,0.0857155104322109,1.0,0.0,0.0,0.0
gemma3:1b,constraint_contradiction,36,0.05555555555555555,0.0,1.0177044392397268e-16,1.0,1.0,1.0,0.006050695867661003,1.0,0.0,0.0,0.0
gemma3:1b,hallucinated_ticker,36,0.027777777777777776,0.0,9.868649107779169e-17,1.0,1.0,1.0,0.012004021373950425,1.0,0.0,0.0,0.0
gemma3:1b,missing_asset,36,0.0,0.0,5.859510407743882e-17,1.0,1.0,1.0,1.2407790362286079e-16,1.0,0.0,0.0,0.0
gemma3:1b,shorting_conflict,36,0.0,0.0,2.1896065207885033e-16,1.0,1.0,1.0,2.983724378680105e-16,1.0,0.0,0.0,0.0
gemma3:1b,sparse_output,36,0.027777777777777776,0.0,1.0485439677015367e-16,1.0,1.0,1.0,0.008519602304862112,1.0,0.0,0.0,0.0
gemma3:270m,ambiguous_conflict,36,0.027777777777777776,0.0,1.0485439677015367e-16,1.0,1.0,1.0,0.0041466392329793005,1.0,0.0,0.0,0.0
gemma3:270m,budget_conflict,36,0.05555555555555555,0.0,7.093091546216277e-17,1.0,1.0,1.0,0.006752366428477606,1.0,0.0,0.0,0.0
gemma3:270m,cap_aligned_60,36,0.027777777777777776,0.0,6.78469626159818e-17,1.0,1.0,1.0,0.004146639232979313,1.0,0.0,0.0,0.0
gemma3:270m,cap_conflict,36,0.0,0.0,9.868649107779169e-17,1.0,1.0,1.0,1.701595076261955e-16,1.0,0.0,0.0,0.0
gemma3:270m,cap_mild_conflict_70,36,0.0,0.0,1.0485439677015367e-16,1.0,1.0,1.0,1.8432039266793669e-16,1.0,0.0,0.0,0.0
gemma3:270m,cap_severe_conflict_90,36,0.0,0.0,9.868649107779169e-17,1.0,1.0,1.0,1.6612988955179127e-16,1.0,0.0,0.0,0.0
gemma3:270m,constraint_contradiction,36,0.0,0.0,1.264420666934206e-16,1.0,1.0,1.0,1.991959852876176e-16,1.0,0.0,0.0,0.0
gemma3:270m,hallucinated_ticker,36,0.0,0.0,1.4802973661668753e-16,1.0,1.0,1.0,1.8400642578882172e-16,1.0,0.0,0.0,0.0
gemma3:270m,missing_asset,36,0.027777777777777776,0.0,6.78469626159818e-17,1.0,1.0,1.0,0.0041466392329792875,1.0,0.0,0.0,0.0
gemma3:270m,shorting_conflict,36,0.05555555555555555,0.0,9.868649107779169e-17,1.0,1.0,1.0,0.04444444444444459,1.0,0.0,0.0,0.0
gemma3:270m,sparse_output,36,0.0,0.0,6.78469626159818e-17,1.0,1.0,1.0,1.476886646832573e-16,1.0,0.0,0.0,0.0
llama3.1:8b,ambiguous_conflict,36,0.0,0.0,8.326672684688673e-17,1.0,1.0,1.0,1.727758982854881e-16,1.0,0.0,0.0,0.0
llama3.1:8b,budget_conflict,36,0.0,0.0,7.093091546216277e-17,1.0,1.0,1.0,2.1863489732454806e-16,1.0,0.0,0.0,0.0
llama3.1:8b,cap_aligned_60,36,0.1388888888888889,0.0,9.251858538542972e-17,1.0,1.0,1.0,0.012476100588162576,1.0,0.0,0.0,0.0
llama3.1:8b,cap_conflict,36,1.0,0.0,5.2427198385076835e-17,1.0,1.0,1.0,0.5648675874921832,1.0,0.0,0.0,0.0
llama3.1:8b,cap_mild_conflict_70,36,0.6944444444444444,0.0,8.943463253924872e-17,1.0,1.0,1.0,0.1462575140205618,1.0,0.0,0.0,0.0
llama3.1:8b,cap_severe_conflict_90,36,1.0,0.0,5.2427198385076835e-17,1.0,1.0,1.0,0.5331497205096704,1.0,0.0,0.0,0.0
llama3.1:8b,constraint_contradiction,36,0.0,0.0,7.709882115452476e-17,1.0,1.0,1.0,1.2950644366703671e-16,1.0,0.0,0.0,0.0
llama3.1:8b,hallucinated_ticker,36,0.0,0.0,1.1410625530869663e-16,1.0,1.0,1.0,1.711232428906258e-16,1.0,0.0,0.0,0.0
llama3.1:8b,missing_asset,36,0.0,0.0,6.47630097698008e-17,1.0,1.0,1.0,2.0373363490082107e-16,1.0,0.0,0.0,0.0
llama3.1:8b,shorting_conflict,36,0.027777777777777776,0.0,1.356939252319636e-16,1.0,1.0,1.0,0.022222222222222424,1.0,0.0,0.0,0.0
llama3.1:8b,sparse_output,36,0.0,0.0,1.1410625530869663e-16,1.0,1.0,1.0,1.7376146817700627e-16,1.0,0.0,0.0,0.0
