experiment_id,method,policy_id,predicted_policy,retrieval_score,decision_date,policy_accuracy,allocation_l1_to_reference,projected_weights,reference_weights,task_id
nl_baseline,rule,P1,P1,1.0,2011-01-03,1,0.0,"{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.019047619,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.6,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.019047619}","{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.019047619,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.6,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.019047619}",c7682e084f1828f8f7ae3d63
nl_baseline,tfidf,P1,P1,0.09272911026017053,2011-01-03,1,0.0,"{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.019047619,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.6,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.019047619}","{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.019047619,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.6,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.019047619}",1a94fd15e11ce250703d5f17
nl_baseline,rule,P2,P2,1.0,2011-01-03,1,0.0,"{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.019047619,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.019047619,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.6}","{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.019047619,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.019047619,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.6}",592ca3cfc0b19fe2766f05a9
nl_baseline,tfidf,P2,P2,0.09977298455538249,2011-01-03,1,0.0,"{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.019047619,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.019047619,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.6}","{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.019047619,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.019047619,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.6}",ffe7fd71a2728b0f0e5940e1
nl_baseline,rule,P3,P3,1.0,2011-01-03,1,0.0,"{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.6,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.019047619,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.019047619}","{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.6,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.019047619,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.019047619}",976aa72ea7f28c84ee6ac75d
nl_baseline,tfidf,P3,P3,0.10306444828113322,2011-01-03,1,0.0,"{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.6,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.019047619,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.019047619}","{""SPY"":0.019047619,""QQQ"":0.019047619,""IWM"":0.019047619,""DIA"":0.019047619,""EFA"":0.019047619,""EEM"":0.019047619,""VEA"":0.019047619,""VWO"":0.019047619,""AGG"":0.019047619,""BND"":0.019047619,""SHY"":0.019047619,""IEF"":0.019047619,""TLT"":0.6,""TIP"":0.019047619,""LQD"":0.019047619,""HYG"":0.019047619,""GLD"":0.019047619,""SLV"":0.019047619,""DBC"":0.019047619,""VNQ"":0.019047619,""UUP"":0.019047619,""BIL"":0.019047619}",dded6ec190d3cf5fcd5a7a39
nl_baseline,rule,P4,P4,1.0,2011-01-03,1,0.0,"{""SPY"":0.0454545455,""QQQ"":0.0454545455,""IWM"":0.0454545455,""DIA"":0.0454545455,""EFA"":0.0454545455,""EEM"":0.0454545455,""VEA"":0.0454545455,""VWO"":0.0454545455,""AGG"":0.0454545455,""BND"":0.0454545455,""SHY"":0.0454545455,""IEF"":0.0454545455,""TLT"":0.0454545455,""TIP"":0.0454545455,""LQD"":0.0454545455,""HYG"":0.0454545455,""GLD"":0.0454545455,""SLV"":0.0454545455,""DBC"":0.0454545455,""VNQ"":0.0454545455,""UUP"":0.0454545455,""BIL"":0.0454545455}","{""SPY"":0.0454545455,""QQQ"":0.0454545455,""IWM"":0.0454545455,""DIA"":0.0454545455,""EFA"":0.0454545455,""EEM"":0.0454545455,""VEA"":0.0454545455,""VWO"":0.0454545455,""AGG"":0.0454545455,""BND"":0.0454545455,""SHY"":0.0454545455,""IEF"":0.0454545455,""TLT"":0.0454545455,""TIP"":0.0454545455,""LQD"":0.0454545455,""HYG"":0.0454545455,""GLD"":0.0454545455,""SLV"":0.0454545455,""DBC"":0.0454545455,""VNQ"":0.0454545455,""UUP"":0.0454545455,""BIL"":0.0454545455}",e0bc1d58b7abb595dd6dfa92
nl_baseline,tfidf,P4,P4,0.1676960851005751,2011-01-03,1,0.0,"{""SPY"":0.0454545455,""QQQ"":0.0454545455,""IWM"":0.0454545455,""DIA"":0.0454545455,""EFA"":0.0454545455,""EEM"":0.0454545455,""VEA"":0.0454545455,""VWO"":0.0454545455,""AGG"":0.0454545455,""BND"":0.0454545455,""SHY"":0.0454545455,""IEF"":0.0454545455,""TLT"":0.0454545455,""TIP"":0.0454545455,""LQD"":0.0454545455,""HYG"":0.0454545455,""GLD"":0.0454545455,""SLV"":0.0454545455,""DBC"":0.0454545455,""VNQ"":0.0454545455,""UUP"":0.0454545455,""BIL"":0.0454545455}","{""SPY"":0.0454545455,""QQQ"":0.0454545455,""IWM"":0.0454545455,""DIA"":0.0454545455,""EFA"":0.0454545455,""EEM"":0.0454545455,""VEA"":0.0454545455,""VWO"":0.0454545455,""AGG"":0.0454545455,""BND"":0.0454545455,""SHY"":0.0454545455,""IEF"":0.0454545455,""TLT"":0.0454545455,""TIP"":0.0454545455,""LQD"":0.0454545455,""HYG"":0.0454545455,""GLD"":0.0454545455,""SLV"":0.0454545455,""DBC"":0.0454545455,""VNQ"":0.0454545455,""UUP"":0.0454545455,""BIL"":0.0454545455}",eb39481ca1850dcbefc45eb0
nl_baseline,rule,P5,P5,1.0,2011-01-03,1,0.0,"{""SPY"":0.1107595829,""QQQ"":0.0716929435,""IWM"":0.1232323418,""DIA"":0.0799528752,""EFA"":0.0704517243,""EEM"":0.0491501986,""VEA"":0.0643525889,""VWO"":0.05994814,""AGG"":0.0,""BND"":0.0,""SHY"":0.0,""IEF"":0.0,""TLT"":0.0,""TIP"":0.0,""LQD"":0.0030180242,""HYG"":0.0789976946,""GLD"":0.0353110989,""SLV"":0.060910955,""DBC"":0.0925498997,""VNQ"":0.0737177686,""UUP"":0.0,""BIL"":0.0259541637}","{""SPY"":0.1107595829,""QQQ"":0.0716929435,""IWM"":0.1232323418,""DIA"":0.0799528752,""EFA"":0.0704517243,""EEM"":0.0491501986,""VEA"":0.0643525889,""VWO"":0.05994814,""AGG"":0.0,""BND"":0.0,""SHY"":0.0,""IEF"":0.0,""TLT"":0.0,""TIP"":0.0,""LQD"":0.0030180242,""HYG"":0.0789976946,""GLD"":0.0353110989,""SLV"":0.060910955,""DBC"":0.0925498997,""VNQ"":0.0737177686,""UUP"":0.0,""BIL"":0.0259541637}",300d712bf5f552046a9b43d5
nl_baseline,tfidf,P5,P5,0.23868052189612618,2011-01-03,1,0.0,"{""SPY"":0.1107595829,""QQQ"":0.0716929435,""IWM"":0.1232323418,""DIA"":0.0799528752,""EFA"":0.0704517243,""EEM"":0.0491501986,""VEA"":0.0643525889,""VWO"":0.05994814,""AGG"":0.0,""BND"":0.0,""SHY"":0.0,""IEF"":0.0,""TLT"":0.0,""TIP"":0.0,""LQD"":0.0030180242,""HYG"":0.0789976946,""GLD"":0.0353110989,""SLV"":0.060910955,""DBC"":0.0925498997,""VNQ"":0.0737177686,""UUP"":0.0,""BIL"":0.0259541637}","{""SPY"":0.1107595829,""QQQ"":0.0716929435,""IWM"":0.1232323418,""DIA"":0.0799528752,""EFA"":0.0704517243,""EEM"":0.0491501986,""VEA"":0.0643525889,""VWO"":0.05994814,""AGG"":0.0,""BND"":0.0,""SHY"":0.0,""IEF"":0.0,""TLT"":0.0,""TIP"":0.0,""LQD"":0.0030180242,""HYG"":0.0789976946,""GLD"":0.0353110989,""SLV"":0.060910955,""DBC"":0.0925498997,""VNQ"":0.0737177686,""UUP"":0.0,""BIL"":0.0259541637}",23ae05f0fe0bb82c1db5535b
