event,proj_l1,proj_l2,cap_clip,neg_weight_count,over_cap_count,entropy,herfindahl,equal_collapse,sum_weight,max_weight,min_weight,turnover_l1,turnover_cap,turnover_clip,strategy_key,fold,model,persona,json_valid,parse_failed,repair_used,elapsed_sec,output_length,hallucinated_ticker_count,missing_asset_count,invalid_weight_count,negative_weight_count,equal_fallback,raw_response,parsed_response,prompt_profile,stage,intended_asset,raw_top_asset,raw_fidelity,raw_core_weight,prompt_cap,hard_max_weight,raw_threshold_fidelity,raw_threshold_gap,projected_top_asset,projected_fidelity,projected_core_weight,projected_threshold_fidelity,projected_threshold_gap,fidelity_loss,threshold_fidelity_loss,raw_weights_json,projected_weights_json,raw_equal_l1,raw_equal_fidelity,projected_equal_l1,projected_equal_fidelity,raw_herfindahl,raw_nonnegative,projected_herfindahl,projected_nonnegative
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,raw,SLV,EFA,0.0,0.05555555555555556,0.6,0.6,0.0,-0.5444444444444444,,,,,,,,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,projected,SLV,,,,0.6,0.6,,,EFA,0.0,0.05555555555555555,0.0,-0.5444444444444444,0.0,0.0,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,raw,SLV,DBC,0.0,0.030694668820678513,0.6,0.6,0.0,-0.5693053311793215,,,,,,,,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,projected,SLV,,,,0.6,0.6,,,DBC,0.0,0.04828063697207477,0.0,-0.5517193630279252,0.0,0.0,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,raw,SLV,SLV,1.0,0.6006006006006006,0.6,0.6,1.0,0.0006006006006006315,,,,,,,,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,projected,SLV,,,,0.6,0.6,,,SLV,1.0,0.6,1.0,0.0,0.0,0.0,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,raw,SLV,IWM,0.0,0.02,0.6,0.6,0.0,-0.58,,,,,,,,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,projected,SLV,,,,0.6,0.6,,,IWM,0.0,0.020000000000000004,0.0,-0.58,0.0,0.0,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,raw,SLV,SLV,1.0,0.6006006006006006,0.6,0.6,1.0,0.0006006006006006315,,,,,,,,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,projected,SLV,,,,0.6,0.6,,,SLV,1.0,0.6,1.0,0.0,0.0,0.0,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,raw,SLV,SPY,0.0,0.019019019019019017,0.6,0.6,0.0,-0.5809809809809809,,,,,,,,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,projected,SLV,,,,0.6,0.6,,,SPY,0.0,0.01904761904761904,0.0,-0.5809523809523809,0.0,0.0,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,raw,TLT,SPY,0.0,0.019019019019019017,0.6,0.6,0.0,-0.5809809809809809,,,,,,,,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,projected,TLT,,,,0.6,0.6,,,SPY,0.0,0.01904761904761904,0.0,-0.5809523809523809,0.0,0.0,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,raw,TLT,SPY,0.0,0.019019019019019017,0.6,0.6,0.0,-0.5809809809809809,,,,,,,,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,projected,TLT,,,,0.6,0.6,,,SPY,0.0,0.01904761904761904,0.0,-0.5809523809523809,0.0,0.0,,,,,,,,,,
prompt_fidelity,,,,,,,,,,,,,,,NLPI[llama3.1:8b|P1],1,llama3.1:8b,P1,,,,,,,,,,,,,1.0,raw,TLT,SPY,0.0,0.019019019019019017,0.6,0.6,0.0,-0.5809809809809809,,,,,,,,,,,,,,,,,
